ts_code,trade_date,buy_sm_vol,buy_sm_amount,sell_sm_vol,sell_sm_amount,buy_md_vol,buy_md_amount,sell_md_vol,sell_md_amount,buy_lg_vol,buy_lg_amount,sell_lg_vol,sell_lg_amount,buy_elg_vol,buy_elg_amount,sell_elg_vol,sell_elg_amount,net_mf_vol,net_mf_amount
000816.SZ,20260130,626829,25470.84,436895,17789.64,586682,23911.89,629910,25649.64,410701,16782.67,574937,23430.72,170280,6974.08,152750,6269.48,-61612,-2304.31
301259.SZ,20260130,10780,3541.11,10420,3424.62,9213,3029.6,8581,2823.18,4824,1588.36,5174,1699.78,747,245.47,1390,456.96,-4780,-1564.32
300517.SZ,20260130,23230,2780.11,17476,2089.66,11441,1367.35,12651,1512.23,6567,782.92,9295,1112.48,1624,193.09,3440,409.11,2972,355.29
000786.SZ,20260130,114061,32015.53,91354,25650.89,77911,21893.42,90337,25401.41,55707,15675.65,58815,16537.43,13761,3880.24,20934,5875.12,-14906,-4154.57
300900.SZ,20260130,178294,69231.88,173435,67388.91,181429,70523.61,185237,72040.56,155872,60638.86,188468,73296.95,110397,43129.89,78851,30797.82,-2492,-760.39
600449.SH,20260130,26975,3583.66,26235,3483.96,12866,1708.26,14808,1969.07,6475,861.23,5273,700.12,0,0.0,0,0.0,-588,-74.67
600153.SH,20260130,105073,10073.67,120753,11572.43,88890,8520.29,78026,7476.8,26797,2569.87,25170,2416.94,5452,519.58,2264,217.24,-22457,-2132.61
688660.SH,20260130,60221,8618.76,53882,7712.67,46831,6704.36,49405,7074.33,26326,3769.39,29002,4151.6,4350,621.3,5439,775.21,675,107.8
300757.SZ,20260130,22520,81000.42,23872,86062.64,28948,104482.38,31913,115152.53,39671,143450.52,37736,135962.31,34183,124060.08,31802,115815.92,19862,74247.32
000719.SZ,20260130,43081,5518.55,51183,6559.41,39520,5064.55,25378,3251.84,10944,1401.33,16331,2091.12,2284,293.85,2937,375.92,3602,469.26
603266.SH,20260130,15566,3361.96,13861,2992.18,10737,2318.44,9783,2112.29,4161,897.56,6541,1413.25,1137,244.77,1416,305.01,4645,1008.17
601838.SH,20260130,172656,28002.5,163106,26447.67,155566,25229.27,143730,23306.09,116226,18840.3,82471,13370.54,57491,9315.62,112633,18263.39,66602,10825.42
002265.SZ,20260130,35167,8541.34,34023,8264.34,22575,5482.57,22190,5390.71,11457,2781.26,12543,3043.9,2236,542.49,2678,648.71,-13346,-3234.8
600938.SH,20260130,377482,133842.76,338476,119937.67,298725,106001.67,293240,104045.28,175670,62335.87,203095,72041.33,88801,31441.46,105868,37597.49,-3401,-826.57
