trade_date,ts_code,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
20250324,002559.SZ,亚威股份,10.89,-10.0,21.47,1198370975.0,209381881.38,121689504.83,331071386.21,-87692376.55,-7.32,27.63,5450568557.94,日跌幅偏离值达到7%的前5只证券
20250324,002574.SZ,明牌珠宝,6.1,-9.4955,14.95,1985704159.0,160667058.88,135144576.83,295811635.71,-25522482.05,-1.29,14.9,3220800000.0,连续三个交易日内，跌幅偏离值累计达到20%的证券
20250324,002633.SZ,申科股份,14.36,-8.535,26.46,622049050.0,63159086.2,36624844.7,99783930.9,-26534241.5,-4.27,16.04,2143822350.0,日振幅值达到15%的前5只证券
20250324,002642.SZ,荣联科技,8.41,-9.9572,15.26,883603550.0,118175931.32,92243902.0,210419833.32,-25932029.32,-2.93,23.81,5556501927.75,日跌幅偏离值达到7%的前5只证券
20250324,002681.SZ,奋达科技,9.13,10.0,22.6,3158879212.0,148564646.34,369995978.32,518560624.66,221431331.98,7.01,16.42,14091556291.12,日涨幅偏离值达到7%的前5只证券
20250324,002724.SZ,海洋王,9.33,10.0236,21.52,1031519431.0,72166500.0,83931391.69,156097891.69,11764891.69,1.14,15.13,5334573197.28,日振幅值达到15%的前5只证券
20250324,002724.SZ,海洋王,9.33,10.0236,21.52,2742988181.0,144837912.64,149609647.2,294447559.84,4771734.56,0.17,10.73,5334573197.28,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250324,002767.SZ,先锋电子,20.03,9.9945,3.77,476626115.0,46829831.92,64357699.0,111187530.92,17527867.08,3.68,23.33,2607551889.63,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250324,113609.SH,永安转债,147.026,-19.9976,,1746692520.0,379762880.0,367310960.0,747073840.0,-12451920.0,-0.71,42.77,,"非上市首日,当日收盘价跌幅达15%的前五只可转债"
20250324,300065.SZ,海兰信,20.62,6.1245,38.03,4891026897.0,392654488.7,274083339.28,666737827.98,-118571149.42,-2.42,13.63,13523557098.2,日换手率达到30%的前5只证券
20250324,300084.SZ,海默科技,10.42,8.6548,45.78,1495170036.0,148007016.68,63477540.78,211484557.46,-84529475.9,-5.65,14.14,3590706825.28,日换手率达到30%的前5只证券
20250324,300697.SZ,电工合金,17.34,20.0,17.27,736414969.0,70838139.0,158293349.56,229131488.56,87455210.56,11.88,31.11,4418232000.0,日涨幅达到15%的前5只证券
20250324,300721.SZ,怡达股份,17.74,15.7208,35.39,805200341.0,87882048.54,56357993.9,144240042.44,-31524054.64,-3.92,17.91,2433233993.46,日换手率达到30%的前5只证券
20250324,300721.SZ,怡达股份,17.74,15.7208,35.39,1541672458.0,145510398.58,124553522.9,270063921.48,-20956875.68,-1.36,17.52,2433233993.46,连续三个交易日内，涨幅偏离值累计达到30%的证券
20250324,301025.SZ,读客文化,10.94,19.9561,14.72,397457316.0,59867609.84,90405260.38,150272870.22,30537650.54,7.68,37.81,2847227979.06,日涨幅达到15%的前5只证券
20250324,301055.SZ,张小泉,19.04,19.9748,5.43,156812415.0,29428024.59,58910029.55,88338054.14,29482004.96,18.8,56.33,2970240000.0,日涨幅达到15%的前5只证券
20250324,301079.SZ,邵阳液压,34.87,19.9931,64.55,1403198565.0,156708836.72,97097968.6,253806805.32,-59610868.12,-4.25,18.09,2403652702.88,日涨幅达到15%的前5只证券
