ts_code,name,count,exchange,list_date,type
886100.TI,DeepSeek概念,757.0,A,20250205,N
886101.TI,兵装重组概念,7.0,A,20250210,N
885362.TI,云计算,218.0,A,20110701,N
886102.TI,中国AI 50,50.0,A,20250310,N
886103.TI,2025一季报预增,112.0,A,20250401,N
886104.TI,2025中报预增,358.0,A,20250703,N
886105.TI,雅下水电概念,88.0,A,20250721,N
886106.TI,2025三季报预增,81.0,A,20251010,N
886107.TI,2025年报预增,43.0,A,20260104,N
886108.TI,AI应用,355.0,A,20260113,N
