date,sentiment,机器人_热度,AI/DeepSeek_热度,半导体_热度,创新药_热度,军工_热度,商业航天_热度,新能源_热度,福建/台湾_热度,机器人_热度_pct,AI/DeepSeek_热度_pct,半导体_热度_pct,创新药_热度_pct,军工_热度_pct,商业航天_热度_pct,新能源_热度_pct,福建/台湾_热度_pct
2025-04-09,4,0,2,0,0,0,0,0,0,,inf,,,,,,
2025-04-10,2,0,2,0,0,0,0,2,0,,0.0,,,,,inf,
2025-04-11,0,0,0,0,0,2,2,0,0,,-100.0,,,inf,inf,-100.0,
2025-04-13,0,0,0,0,0,0,0,0,0,,,,,-100.0,-100.0,,
2025-04-14,2,0,0,0,0,2,0,0,0,,,,,inf,,,
2025-04-15,2,0,0,0,0,2,0,2,0,,,,,0.0,,inf,
2025-04-16,2,0,0,4,0,0,0,2,0,,,inf,,-100.0,,0.0,
2025-04-17,2,0,0,0,0,0,0,0,0,,,-100.0,,,,-100.0,
2025-04-18,2,0,0,0,0,0,0,0,0,,,,,,,,
2025-04-21,0,0,0,0,0,2,0,0,0,,,,,inf,,,
2025-04-22,2,0,0,0,0,0,0,0,0,,,,,-100.0,,,
2025-04-23,2,0,0,4,0,0,0,0,0,,,inf,,,,,
2025-04-24,2,2,0,0,0,0,0,0,0,inf,,-100.0,,,,,
2025-04-25,2,4,2,0,0,0,0,0,4,100.0,inf,,,,,,inf
2025-04-27,0,0,4,0,0,0,0,0,2,-100.0,100.0,,,,,,-50.0
2025-04-28,4,0,0,0,0,0,0,0,0,,-100.0,,,,,,-100.0
2025-04-29,2,0,2,0,0,2,0,0,0,,inf,,,inf,,,
2025-04-30,-118,68,358,100,24,138,44,118,62,inf,17800.0,inf,inf,6800.0,inf,inf,inf
2025-05-01,0,0,0,0,0,0,0,0,0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
2025-05-02,2,0,0,0,0,0,0,0,0,,,,,,,,
2025-05-05,0,0,0,0,0,0,0,0,0,,,,,,,,
2025-05-06,4,0,0,0,0,0,0,0,0,,,,,,,,
2025-05-07,6,0,0,0,0,0,0,0,0,,,,,,,,
2025-05-08,2,0,0,2,0,0,0,0,0,,,inf,,,,,
2025-05-09,2,0,0,0,0,0,0,0,0,,,-100.0,,,,,
2025-05-11,2,0,0,0,0,0,0,0,0,,,,,,,,
2025-05-12,0,0,0,0,0,0,0,0,0,,,,,,,,
2025-05-13,2,0,0,0,0,0,0,0,0,,,,,,,,
2025-05-14,2,0,2,0,0,0,0,2,4,,inf,,,,,inf,inf
2025-05-15,2,0,2,2,0,0,0,2,0,,0.0,inf,,,,0.0,-100.0
2025-05-16,2,0,0,0,0,0,0,0,0,,-100.0,-100.0,,,,-100.0,
2025-05-19,6,0,2,0,0,0,0,0,0,,inf,,,,,,
2025-05-20,2,0,2,0,0,0,0,0,0,,0.0,,,,,,
2025-05-21,4,2,0,0,0,0,0,0,0,inf,-100.0,,,,,,
2025-05-22,2,0,2,2,0,0,0,0,0,-100.0,inf,inf,,,,,
2025-05-23,2,0,0,0,0,0,0,0,0,,-100.0,-100.0,,,,,
2025-05-25,0,0,0,0,0,0,0,0,0,,,,,,,,
2025-05-26,2,2,0,0,0,0,0,2,0,inf,,,,,,inf,
2025-05-27,4,0,0,0,0,0,0,0,0,-100.0,,,,,,-100.0,
2025-05-28,2,0,0,0,0,0,0,0,8,,,,,,,,inf
2025-05-29,20,4,12,12,10,8,6,0,0,inf,inf,inf,inf,inf,inf,,-100.0
2025-05-30,-58,56,88,56,64,80,20,16,24,1300.0,633.3333333333333,366.6666666666667,540.0,900.0,233.33333333333334,inf,inf
2025-05-31,-30,22,208,130,20,216,52,78,28,-60.71428571428572,136.36363636363637,132.14285714285717,-68.75,170.00000000000003,160.0,387.5,16.666666666666675
2025-06-25,218,30,26,66,22,64,2,42,18,36.36363636363635,-87.5,-49.23076923076923,10.000000000000009,-70.37037037037037,-96.15384615384616,-46.15384615384615,-35.71428571428571
2025-06-26,140,20,70,68,80,82,12,24,16,-33.333333333333336,169.23076923076925,3.0303030303030276,263.6363636363636,28.125,500.0,-42.85714285714286,-11.111111111111116
2025-06-27,96,26,58,30,36,20,0,44,10,30.000000000000004,-17.14285714285714,-55.88235294117647,-55.00000000000001,-75.60975609756098,-100.0,83.33333333333333,-37.5
2025-06-28,68,36,86,16,0,86,14,4,14,38.46153846153846,48.27586206896552,-46.666666666666664,-100.0,330.0,inf,-90.9090909090909,39.99999999999999
2025-06-29,-10,12,10,2,8,24,0,8,4,-66.66666666666667,-88.37209302325581,-87.5,inf,-72.09302325581395,-100.0,100.0,-71.42857142857143
